time,data_dir,gpu,max_sequence_length,min_occ,embedding_size,rnn_type,epochs,hidden_size,word_dropout,embedding_dropout,latent_size,batch_size,bidirectional,learning_rate,coeff,x0,gamma,glove,att_latent,stop_annealing,save_model,samples,attr_size,discr_type,h1_size,h2_size,discr_drop,max_discr_weight,kl_weight,word_drop_type,delta,hs_rnn_discr,back,discr_warmup
2020-May-26-10:24:20,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2020-May-28-06:59:14,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Feb-26-14:30:42,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Feb-26-14:37:30,../data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Feb-26-16:41:39,../data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Feb-26-16:59:32,../data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:13:17,../data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:18:04,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:22:05,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:23:20,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:32:11,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:36:56,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-10:40:24,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-11:56:10,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:07:31,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:08:42,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:08:55,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:11:23,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:20:57,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
