id,PastNegNeutral,id,model1,model2,pronoun,sentiment,text1,text2,verb_tense
0,PastNegNeutral,0,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,I wanted a bit.,Was not even that busy.,Past
1,PastNegNeutral,1,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Impressed packed.,We had a bad experience.,Past
2,PastPosPlural,2,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The guys did a great job.,We will be back.,Past
3,PastNegSingular,3,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,She did not know what she was doing.,Flavorful polite reasonable school attentive polite  she gets gets dated managers managers needless managers.,Past
4,PastPosPlural,4,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They were both delicious.,No idea returned.,Past
5,PastNegSingular,5,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I was not impressed with the food.,Sorry else came out of wings wings and enjoy.,Past
6,PresNegNeutral,6,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,This place is not the same people.,Well maintained maintained than rude if you are closed packed decent knowledgable kidding  she gets gets extremely knowledgeable dated.,Present
7,PastNegPlural,7,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,That was not that good.,Were incredibly.,Past
8,PresPosPlural,8,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The amount of.,My nails are always great.,Present
9,PastPosPlural,9,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,No pasta had no stars.,The guys made me feel welcome.,Past
10,PastPosSingular,10,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The staff and service were great.,So lame and i loved.,Past
11,PastNegPlural,11,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were absolutely.,My meatballs were not good.,Past
12,PresPosPlural,12,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Will be back again when we are in vegas.,Knowledgable recommend their burgers are closed.,Present
13,PresPosSingular,13,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I really love this place.,I am going to.,Present
14,PresNegSingular,14,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,But it is awesome.,Food is mediocre at best.,Present
15,PresNegPlural,15,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry makes me feel.,The people are so rude.,Present
16,PastNegSingular,16,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This was a little bit expensive.,Lame ) almost half of the food.,Past
